source_row_id,style_id,sku,component,material,composition,net_weight,vendor,country,order_date,quantity,unit_price
1,TSH-01,TSH-01-BLK-XS,shell fabric,organic cotton,100% organic cotton,147 g,Bharat Mills,India,2025-04-08,1260,5.86
2,TSH-01,TSH-01-BLK-XS,rib collar,cotton,97% cotton / 3% elastane,12 g,Bharat Mills,India,2025-04-08,1260,12.88
3,TSH-01,TSH-01-BLK-XS,side tape,polyester,100% polyester,4 g,Bharat Mills,India,2025-04-08,1260,16.42
4,TSH-01,TSH-01-BLK-XS,care label,polyester,100% polyester,1 g,Bharat Mills,India,2025-04-08,1260,13.85
5,TSH-01,TSH-01-BLK-XS,brand label,cotton,100% cotton,2 g,Bharat Mills,India,2025-04-08,1260,20.33
6,TSH-02,TSH-02-BLK-S,shell fabric,organic cotton,100% organic cotton,170 g,Oceanic Fabrics,Vietnam,2025-06-09,1380,2.87
7,TSH-02,TSH-02-BLK-S,rib collar,cotton,97% cotton / 3% elastane,,Oceanic Fabrics,Vietnam,2025-06-09,1380,20.27
8,TSH-02,TSH-02-BLK-S,side tape,polyester,100% polyester,,Oceanic Fabrics,Vietnam,2025-06-09,1380,18.38
9,TSH-02,TSH-02-BLK-S,thread,polyester,100% polyester,2 g,Oceanic Fabrics,Vietnam,2025-06-09,1380,9.77
10,TSH-02,TSH-02-BLK-S,care label,polyester,100% polyester,1 g,Oceanic Fabric,Vietnam,2025-06-09,1380,14.02
11,TSH-02,TSH-02-BLK-S,size label,polyester,100% polyester,1 g,Oceanic Fabrics,Vietnam,2025-06-09,1380,21.61
12,TSH-03,TSH-03-RED-S,shell fabric,organic cotton,100% organic cotton,132 g,Acme Textiles,Portugal,2025-01-22,1980,11.61
13,TSH-03,TSH-03-RED-S,rib collar,cotton,97% cotton / 3% elastane,12 g,ACME TEXTILES,Portugal,2025-01-22,1980,9.20
14,TSH-03,TSH-03-RED-S,side tape,polyester,100% polyester,4 g,Acme Textiles,Portugal,2025-01-22,1980,16.92
15,TSH-03,TSH-03-RED-S,thread,polyester,100% polyester,3 g,Acme Textiles Ltd.,Portugal,2025-01-22,1980,2.25
16,TSH-03,TSH-03-RED-S,care label,polyester,100% polyester,1 g,Acme Textiles,Portugal,2025-01-22,1980,16.06
17,TSH-03,TSH-03-RED-S,size label,polyester,100% polyester,1 g,Acme Textiles,Portugal,2025-01-22,1980,11.83
18,TSH-03,TSH-03-RED-S,brand label,cotton,100% cotton,,Acme Textiles,Portugal,2025-01-22,1980,7.11
19,TSH-04,TSH-04-RED-S,shell fabric,organic cotton,100% organic cotton,154 g,Bharat Mills,India,2025-01-08,480,22.17
20,TSH-04,TSH-04-RED-S,rib collar,cotton,97% cotton / 3% elastane,,Bharat Mills,India,2025-01-08,480,16.25
